Freq.	V(n011)/I(unbalanced)
4.40762046350651e+00	(7.96233760297737e+01dB,1.57843380115519e+02°)
4.43827788827145e+00	(7.96148655765739e+01dB,1.57981719470357e+02°)
4.46914855228895e+00	(7.96064559232083e+01dB,1.58119370882977e+02°)
4.50023393875531e+00	(7.95981460676955e+01dB,1.58256334607848e+02°)
4.53153554118327e+00	(7.95899350134736e+01dB,1.58392610961195e+02°)
4.56305486347377e+00	(7.95818217694816e+01dB,1.58528200320026e+02°)
4.59479341998822e+00	(7.95738053502378e+01dB,1.58663103121152e+02°)
4.62675273562123e+00	(7.95658847759162e+01dB,1.58797319860221e+02°)
4.65893434587390e+00	(7.95580590724185e+01dB,1.58930851090743e+02°)
4.69133979692759e+00	(7.95503272714439e+01dB,1.59063697423123e+02°)
4.72397064571820e+00	(7.95426884105550e+01dB,1.59195859523693e+02°)
4.75682846001096e+00	(7.95351415332418e+01dB,1.59327338113749e+02°)
4.78991481847580e+00	(7.95276856889824e+01dB,1.59458133968588e+02°)
4.82323131076312e+00	(7.95203199333001e+01dB,1.59588247916551e+02°)
4.85677953758027e+00	(7.95130433278183e+01dB,1.59717680838072e+02°)
4.89056111076836e+00	(7.95058549403129e+01dB,1.59846433664722e+02°)
4.92457765337975e+00	(7.94987538447617e+01dB,1.59974507378268e+02°)
4.95883079975603e+00	(7.94917391213901e+01dB,1.60101903009731e+02°)
4.99332219560653e+00	(7.94848098567163e+01dB,1.60228621638448e+02°)
5.02805349808740e+00	(7.94779651435910e+01dB,1.60354664391141e+02°)
5.06302637588121e+00	(7.94712040812383e+01dB,1.60480032440993e+02°)
5.09824250927714e+00	(7.94645257752895e+01dB,1.60604727006727e+02°)
5.13370359025171e+00	(7.94579293378187e+01dB,1.60728749351691e+02°)
5.16941132255006e+00	(7.94514138873734e+01dB,1.60852100782948e+02°)
5.20536742176783e+00	(7.94449785490029e+01dB,1.60974782650379e+02°)
5.24157361543355e+00	(7.94386224542861e+01dB,1.61096796345782e+02°)
5.27803164309167e+00	(7.94323447413552e+01dB,1.61218143301988e+02°)
5.31474325638614e+00	(7.94261445549168e+01dB,1.61338824991976e+02°)
5.35171021914454e+00	(7.94200210462739e+01dB,1.61458842928000e+02°)
5.38893430746286e+00	(7.94139733733413e+01dB,1.61578198660719e+02°)
